test_id,suite,group,phase,confidence,diagnostic,source_junit,outcome,outcome_index,junit_classname,junit_name,evidence_kind,source_log,log_line,evidence_note
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[computed-address-dram-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_6d5ebac3.cpp:66:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[computed-address-dram-bf16],junit+exact-pytest-failure-block,pytest.log,20255,Exact parametrized heading and traceback source/function match JUnit
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[computed-address-dram-fp32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_6d5ebac3.cpp:66:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[computed-address-dram-fp32],junit+exact-pytest-failure-block,pytest.log,21595,Exact parametrized heading and traceback source/function match JUnit
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[computed-address-l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_6d5ebac3.cpp,pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[computed-address-l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[computed-address-l1-fp32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_6d5ebac3.cpp,pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[computed-address-l1-fp32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[published-address-dram-bf16],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_e3777732.cpp:66:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[published-address-dram-bf16],junit+exact-pytest-failure-block,pytest.log,24919,Exact parametrized heading and traceback source/function match JUnit
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[published-address-dram-fp32],pytest,JIT RISC-V / DFB reset-reconfiguration,emulator JIT compilation,high (observed diagnostic),/tmp/default/ttlang_kernel_compute_e3777732.cpp:66:16: error: invalid instruction mnemonic 'sw',pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[published-address-dram-fp32],junit+exact-pytest-failure-block,pytest.log,26268,Exact parametrized heading and traceback source/function match JUnit
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[published-address-l1-bf16],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e3777732.cpp,pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[published-address-l1-bf16],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/pipe/test_pipe_protocols.py::test_pipe_resources_coexist_with_reset[published-address-l1-fp32],pytest,JIT compilation failure (detailed cause unavailable),emulator JIT compilation,high (compilation failure observed; detailed cause not inferred),RuntimeError: jit_compile_kernel: compiler failed (exit 256) for kernel: /tmp/default/ttlang_kernel_compute_e3777732.cpp,pytest-report.xml,failure,1,python.pipe.test_pipe_protocols,test_pipe_resources_coexist_with_reset[published-address-l1-fp32],junit,,,Exact parametrized heading and traceback source/function match JUnit; no classifiable diagnostic was captured in that block
test/python/pipe/test_pipenet_multi_iter.py::test_cross_dfb_multicast_loopback,pytest,Numerical: cross-DFB multicast loopback,runtime result validation,high (observed mismatch; root cause not inferred),AssertionError: Tensor-likes are not close!,pytest-report.xml,failure,1,python.pipe.test_pipenet_multi_iter,test_cross_dfb_multicast_loopback,junit,,,
test/python/pipe/test_pipenet_tree_reduce.py::test_tree_reduce[default-dram-fp32],pytest,Numerical: tree reduction,runtime result validation,high (observed mismatch; root cause not inferred),AssertionError: Expected pcc 0.192032128572464 >= 0.999,pytest-report.xml,failure,1,python.pipe.test_pipenet_tree_reduce,test_tree_reduce[default-dram-fp32],junit,,,
